contents,
『创造了穿Dior的美少女战士，嫁给坑神，她才是华丽征服世界的壕公主』网页链接,
一大早忍不住的想吐槽一下鸡肋的Dior气垫真tm难用,
今天是非主流代表，口红Dior999、好用到上天～,
梦见了我的初恋，也不算初恋就是我小学的同桌，互相有好感，那天和我姐聊天听我姐说，我初中阑尾炎手术他还特意买的东西来看我呢！我都给忘了，记得高中他回国也特意和我见面还送了我一套Dior的香水套装，还给我买个流氓兔的钱包，现在想想多么好的男人啊，那么大就会送香水，现在也不知道他过的怎么样 ...全文,
得最勤就是Kenzo风之恋（橙色）了，蔚蓝、帕尔马绿瓶，黑瓶、一生之水、Dior Homme活力淡香、寄情、风格还有大地。几乎每天都会喷，分场合。//@三里豚-:欧珑的加州柑橘、帕尔玛之水的卡普里岛橙、祖马龙的伯爵茶与小黄瓜//@上古和:大吉岭茶,
@日和手帖: 你平时使用香水吗？（若是，请评论留言你使用香水的名字，使用香水的频率，使用香水的主要原因，以及你的性别，年龄和所在城市。THX～）,
发布了头条文章《 Dior lady戴妃包》你是不是和我一样，庆幸微博没有「最近访客」这一栏，因为我几时几分想你和我一天想你多少遍，都是秘密。,
屋里小姐姐都要去远方工作了，以后见面的次数就越来越少了，我们三个有合照还是很久很久以前了吧，去年7月份吧，然后就是我一直在这里等你们回来，回来一次约一次 下次又不知道是什么时候，珍惜眼前，很爱很爱你们 希望一切都顺利，欧尼别忘了说好挣钱了给我的Dior哦 ...全文,
今天出门前喷了一点香水 不小心喷到了床铺 现在睡在散发着淡淡miss dior果香调的被单上 感觉自己是一个精致又做作的猪猪女孩 晚安🌙,
翻出来一只买来从没用过的dior 619，突然get到了她的美，再一搜绝版了？这下更舍不得用了,
Western girl in #Dior#,
继续宠粉～ 今晚送dior口红如何,
"久久久久久久久久久久久违的家庭出游
景区里竟然藏了个性文化博物馆，本来想着我进去遛一圈就出来，结果小家伙跑的比我还快，在里面转圈到处跑，对里面各种巨大的DIOR像还有春宫图视而不见，只有在出来的路上看到这一系列的小人问我：妈妈他们在干嘛
（好奇这条微博会不会被和谐…）",
#陈伟霆必胜客##Dior# 爱你@特立独行的暴脾气HUA,
dior740试色,
"别人吃包子我吃包
不算全部只是买了还没背过的就有几个了
又买了
有时候我甚至会忘了自己买过所以突然看到哪只包然后我心里os我还买了这个...
类似情况还有口红
我很爱盲买
然后就撞了dior口红版的775，整理柜子发现以前买的唇蜜版775【我根本不记得，看到才知道色号一样，而且我就真的不爱玫红 ...全文",
"突然觉得自己很圆满了
感谢@昂昂你别打哈欠
感谢@ （我的婆婆）
每个色都是心头爱！
mac:ruby woo，chili ，see sheer
Dior:01
tf：09
阿玛尼:405
Ysl:11",
"珠宝的魅力在于如何把女性的美丽精致在举手投足之间展现出来。这些都是工艺与美学的完美结合！
in Dior💗",
"向来不咋跟风的我
忽然迷上了Dior740
这个色越看越好看
我最近好像掉进橘棕色系的坑了",
Dior迪奥 这样搭配我觉得可以,
不管你们怎么说～我就是敲喜欢这个焦糖奶茶色，dior421啦,
"突然发现 只有两根是我自己买的
满足 感动 珍惜
#莫负好春光##全民晒口红##Dior##NARS##圣罗兰##tf口红mini#",
幸福的被捧在手心无需坚强，而坚强的却是不得不坚强。”谁说幸福的女人不需要坚强？lady谁说坚强的dior戴妃包女人不可以三格幸福？被宠爱并不是幸福的徽章全部，自己创造的幸福比别人给予的更有喜悦和安全感。做第三种女人，坚强并幸福着。,
"隆重介绍一下我的小可爱们～
从左到右依次是dior877, dior999, Chanel46, 3ce116,YSL12，Mac cockney, Mac chili～
总结只有一句，chili大法好！",
想了想，给单位个面子，去开会还是背Dior穿套贵点的职业装吧 ，毕竟是去上海开会,
"决定为了dior蓝星的质地和刷头设计多入几支了
这个使用感真的舒服
还有 999好看好显白 828目标要买 我最喜欢棕红
购物提上日程✅",
B站上看到密子君和dior的合作视频 我真滴惊呆 dior的品牌pr是不是石乐志……,
用银镯子来试一下💄，自行感受（左边是Dior，右边是梦妆）,
女人最该拥有的是一颗强大的心吧，别人伤害了你之后，你还可以拥抱自己，钱和别人带来的安全感，从来都不是最安全的。（不过Dior香水可以给我动力谢谢）,
"@张猫要练嘴皮子: 【女子本弱，为包则强】
背着秀水街的LV就能睡来一个爱马仕 ？
《北京女子图鉴》里的三观很可以了…
转+评，抽1人送[Miss Dior香水]
#北漂女孩生存指南#张猫要练嘴皮子的微博视频",
女人最该拥有的是一颗强大的心吧，别人伤害了你之后，你还可以拥抱自己，钱和别人带来的安全感，从来都不是最安全的。（不过Dior香水可以给我动力谢谢）,
"@张猫要练嘴皮子: 【女子本弱，为包则强】
背着秀水街的LV就能睡来一个爱马仕 ？
《北京女子图鉴》里的三观很可以了…
转+评，抽1人送[Miss Dior香水]
#北漂女孩生存指南#张猫要练嘴皮子的微博视频",
dior744橙红色，色度饱和，一层就能遮唇色，除了味道难闻，不小心吃进嘴能苦死，别的没毛病，不会回购,
Dior的小哥哥超帥,
发布了头条文章《lady dior戴妃包》时间是最好的良药，能让痛的不再痛了，让放不下的放下了，能把想不通看不透的东西认清。当过去那些刻骨铭心变得无关痛痒，那些以为永远留下在生命里的人念念不忘之间早已遗忘，没什么能敌得过时光，那些曾经让你难过不已的事，总有一天，你会笑着把它说出来。,
今天用的懒蛋蛋02，很适合画清淡的日常妆，除了右下的眼神有点鸡肋（看起来有颜色到眼皮上几乎看不出），剩下三个都蛮实用的，坐上打底，右上铺满眼皮，左下画眼尾。最近又在闹停产，纠结了下还是囤了一个。今天的腮红也好喜欢，是Dior某年圣诞限量唇釉，我觉得应该是个唇颊两用，当腮红要更好看一点， ...全文,
吐个槽，Dior080，黄皮不是很友好，慎入。,
"我关注的一个旅行博主开始推口红了？？？
Mac，Dior，阿玛尼？？？
What happened？？？
难道全世界都属于美妆博主了吗？？？
有意思",
"#杨文昊# 我妈说我今天为啥穿的跟个男人一样我说我最近看小哥哥看的有点多～接着下一句就是你看这么多也不往回领！我倒是想领一个！可是我的理想型就是威后啊！难不成我把他绑来？我倒是愿意哈哈哈哈
比心Dior forever 粉底 好用到炸裂",
#coco漫生活# 艺术之美，在于技巧以外的个性。 #dior艺术展# 网页链接,
Mac chili跟Dior999果然很接近呀啊啊啊哭哭 景洪·沙湾,
"去香港要买的
Lunamini2
Dior粉底
漫威T
...还有啥",
"“喂，弟弟啊，你来的时候给你哥我带条裤子。”
—“你要啥样的裤子啊？”
“啥样都行！你哥我现在在大街上！穿着睡裤搭衬衫！上半身在巴黎秀场下半身在城乡结合部！我还要走出一股dior超模的气场，我很累啊！”
—“……好的吧好的吧。”

就很不容易@别把你的破情绪带给我",
穿背带裤，胸前口袋千万不要放东西。我的Dior就是这么眼睁睁活生生掉进厕所的,
许嵩/Dior《浅唱》 浅唱 @QQ音乐,
上个月丢Dior这个月丢周大福可能我不配拥有它们？,
为什么要买斩男色（我还是没有买到），是觉得到我这个年纪天天再浆果紫红，艳粉橘，脏橘，烂番茄，草莓红，dior999可能就找不到男朋友了麻麻说现在的小护士都贼精贼精的，她们妇产科十几个女医生到现在都还单着呢,
孙芸芸身着dior2018春夏系列红色亮片背心裙登《美丽佳人》台版2018年5月号。,
每次喝东西我都感觉我的dior999是个假的,
@哲学家杨宇玮 Dior了解一下,
"坤音四子 ! 来来来，我给大家安利一下
队长#岳岳pinkray# 本南航硕格大，身高183的靠谱的大哥哥
#卜凡# 身高192的男模，帅气有趣会做饭，超级神A的大男孩
#木子洋# 身高188走过Dior大秀的男模，超级温柔的坤音梗王
#灵超# 01年的疼痛文学作家，因外表轰动学校的实验班校草，嗯目前183",
what‘s your favourite lipstick？#Dior##jasmine tookes##jasminetookes# JasmineTookes_Fans的秒拍视频,
心血來潮畫藍色，DIOR這盤好久沒用都忘了它是如此的不顯色用暖色疊加在outer corner瞬間去了夏威夷好喜歡💕,
Dior999了解一下,
我们永远不能停止梦想。梦想是生命的养料，就像dior戴妃包是身体的给养。人生路上我们常会看见自己的梦想破碎了，渴望落空了，但我们仍然坚持梦想,
"直男亲哥系列
我哥去香港问我需要什么
我说给我买小裙裙 然后他给我发来这种
我第一反应是？？？难不成是给妈妈买的？？
直男哥哥说 不是 给你
我：？？？
给我买💄的时候
我说帮我看一下dior999 他立马跑去看了 然后问我这么红？我说 嗯！ 我说 你先等等我再看看别的 亲哥说已经要买了 你快点 ...全文",
"P1妄图教会一个从小到大谁都教不会的张倩楠骑自行车
P2吃饭后买了好多游戏币结果并没有给我抓到一个娃娃
P3可爱的风景
P4带她坐错车气的她脑壳疼以及并不好吃的人工雪糕还有欠张倩楠Dior的某人
P5大唐不夜城手绘合影墙上有张倩楠隐形的翅膀
P6你有多久没有好好读一本书了？
P ...全文",
这只男人有没有一点Dior前设计师John Galliano的味道？ 法国·Theatre Le Crazy horse de Paris zxfaaa的秒拍视频,
发布了头条文章《Dior lady戴妃包》其实，我们纵使给了你伤痛同样也教会了你如何成长，这多像一个黑色幽默，我始终不相信，没有谁会比我认真，任何时候。但，是不是我不解释。很多情愫都变了吧，那些曾经，从来都不知后悔。即使现在我们已经各安天涯。,
姑娘们，没有Lady Dior的人生，是不完整的。,
考完聚聚吃个肉肉~ 我滴Dior520 766 终于买到了~ 真的是不光要和妹子抢 还要和妹子男票抢 澳大利亚·悉尼,
发布了头条文章《Dior lady戴妃包》美羊羊麦包包或是为了实现我们的愿望，当它划过天空的那一瞬，美已经来过，愿望也早已许下。它的出现总想让心定情淡三格烫钻吹来了你的塔罗系列却怎么也无法让情不驿动，带来一份光芒，带来属于它最为真切的问候。纵是只有那短短的一瞬，在刹那相逢之后,
"我最近可能是要破一个两万多的灾，先是找不到Dior水钻包，现在找不到Chopard项链
我：",
"朋友们 两句话：
一，dior421一上嘴我就爱上了，焦糖撞奶色，配日常的大地色妆容太配了！！
二，在唇峰处涂becca的香槟泡泡太tm好看了！！！相机拍不出那种美！",
我每天都被广告迫害！！！every！fking!day!刚又看到Dior粉底又想买了！攒攒钱吧我还要去成都给我也爹上坟不是吗！,
眼癌还以为dior出了水果夹心糖果,
捡到我化妆包的估计得笑死 Dior999和新买的阿玛尼200都在里面,
窒息 真我啥样我不知道 miss dior差点把我腻死 香到窒息但是星星包装还是好看的 作为视觉系动物我很满意另外学法语使我进步,
"五月第一天
拆了一个dior001
果然是劳动的一天！",
发表了头条文章《dior戴妃包》上帝之所以创造指纹，是因为他想让人们知道，其实，每个人都有伤痕。一个人面对外面的世界，需要的是窗子,一个人面对自我时，需要的是镜子。人生不相见，动如参与商。明日隔山岳，世事两茫茫。
#coco漫生活# #dior艺术展# 所有的忍耐，都缘于你的善良，一如既往。#早安五月# #期待六月# ☘️ @ People's Park (Shanghai) 网页链接,
我的妈！这两天接二连三入手了dior和mac女人的购物欲真可怕🌝🌝,
说真的，但凡经济自由的女性，对Diao的渴望一定远远不及对Dior的渴望（当然，如果不喜欢Dior还阔以挑别的，比如香奶奶）。很多男性都不理解，他们管这种思想叫“拜金”。然而，Diao有什么好呢？它既不香又不美，不洗干净还有股味儿。哪像Dior，不仅自己美美哒还能让你变得美美哒。,
涂完Dior999感觉自己像要去走红毯：）,
看了抖音才知道Dior的鞋鞋子底下要垫垫子？？,
突然发现ysl博物馆的官网有讲ysl的故事诶 （当阅读相当好） 人家18岁去巴黎 21岁就遵chritian dior的遗嘱当了cd的 directeur artistique 。。。 天赋这种东西啊唉 人家的21岁。。。唉唉唉,
"#宣美##宣美0502生日快乐#
睡觉之前整理一波Dior活动图还有新出来的杂志图
地点见p8
不行不行我要睡觉啦
明天还要做表格来着
溜了溜了",
"糊掉的自拍 nice
为了庆祝我找到失踪很久的Dior口红",
梦里我特dior的拂了拂衣襟长扬而去 意境类比一蓑烟雨任平生！,
赵丽颖如今利用难得的休息时间在很努力地学习英文，毕竟之前Dior的英文广告给她带来的负面影响还蛮大的，这件事激起了她的斗志。赵丽颖就是在哪方面做得不好，就更要想尽办法补短板,
我看到盒子第一句话就是，有没有搞错买个假的Dior。内心大概就是名牌袋子里面放着miniso的东西。太直接了。是喜欢的香水，只是mini了点,
"讨论不要在韩国买乱七八糟的化妆品时
老公说:你是用DIOR的命
大概是听到的最开心的评价",
好好审视了一下我的部队，mac的d for danger和dior867居然都是梅子色！see sheer和雅诗兰黛420都是豆沙色！！还有我居然没有西柚色没有橘红色，以及好想要ysl的黑管唇釉…,
"啊啊啊啊巨喜欢迪奥Dior的999号色!!
还有很皮的广告词：只要本宫不死你们永远是妃 据说每个女生都应该拥有一支这个口红!!
忒吸引人了 哎呀嘛好想要啊!! 耒阳·万亿购物广场",
"突然想起来
当我还在用爱丽小屋还有乱买的巧迪尚惠时候
二狗把我拉入了dior three 小ck 等等一些大坑
然后她从坑里跳了出去
而我却越陷越深@坂田银时_未来的主厨SAMA",
"Dior=dio？？？
二锅果然是最棒的",
谁再说Dior999是正红我就要骂人了每次涂完它都要叠加别的才喜欢,
朴志训和姜蛋妮的选择Dior857和Armani400 作为女人花钱作为追星狗更花钱某次签名会后记看...（想看更多？下载@小红书 APP:应用详情）网页链接,
发布了头条文章《lady Dior mini戴妃包》曾经的好友产生了隔阂，感情再难回到原位，是干脆的离开？还是彼此尴尬的继续维持？每个人处理感情的方式不同，也无所谓哪一种更高级。只是像我们这种活的粗糙的人，只想着爱的时候真诚，分开了也不后悔。人生海海，挥挥手各自去嗨，不爱了就不回头。,
喜欢Dior壳壳超出来的调调,
"终于拍了上嘴试色的dior639
都不记得第几次发了",
MU服装设计工作室，今日分享—从设计手稿到成衣制作（Dior-The Savoir-Faire of the Knitted Bodysuit）#成都分享##服装##成都身边事##MonetUtopia##服装设计##时装##成都##时尚##Dior# MonetUtopia服装设计工作室的秒拍视频,
"阿玛尼黑管302，500，501
Dior undercover
了解一下许愿中",
等了半个多月的dior7格包终于到了 等了一个多月的连衣裙还在调货 5.2重庆见！,
"dior999太好看了
可是太女人
怕是hold不住",
………就是莫名其妙的不爽想花钱…我是买个chloe的包还是买个dior那个罗盘项链还是现在不管3721就把基辅的机票给先买了,
我要崩溃了，前两天去欧洲买了Dior的恒久粉饼，混油能用轻薄度可以，但是上脸真特么黄，感觉迪奥歧视我们白的人。四百多块啊，心在滴血……,
分享一张Dior740的试色,
"Damn 我研究了几天感觉男香只有Dior homme和Tom Ford这个大橘子Mandarino di Amalfi能闻～
“夏日泉水➕绝謐橘境”。买了这个身体喷雾喷了简直想和自己谈恋爱诶呦呦 Tom Ford真是最会捞钱的男人 死贵都想买",
发现Dior mk lv cpb 维密的人事/猎头真忙，我都找到工作了，才打电话让我去面试。。。你们五一不休息吗？,
得到一直渴望的Dior手表，想那些遥远的梦想有朝一日也能成为现实,
"发布了头条文章《 Dior lady戴妃包》Don't try to keep someone in life, if they want to go, let go.-----别试图在生命里勉强留住某人，如果他们要走，就放手。",
"近期一波口红
注意前两个上嘴真的不一样
#美康粉黛##Dior999#",
旁友 Dior740了解一下吗#日常照骗#,
家里有个电视台专门放各种拍摄超赞的旅游视频，好听的音乐配上超赞的画面，被深深种草都想转行了，这个电视台简直有毒，可以放一天没有广告，昨天晚上还有个台专门讲Dior，从服饰走秀到首饰设计人果然还是会向往各种美好的让人开心的人或者物,
"Dior 的这个高光真的好好看呀！！！
光泽感感人[推荐]",
"今天的风又吹起了雨
我说，所有的酒 都不如你
Dior 雅诗兰黛也不如你",
对网传本宫不死，尔等终究为妃的dior999倾慕已久，终于入手了，但是试色并没有我想的红，可能我对于正红色的执念已经偏执到一定境界了,
"四月份的尾巴收到的一个包和一瓶Dior香水
嘻嘻",
QIpretty卷耳猫舍的主页 把繁育人Jane当初发给我Dior小时候的照片给翻了出来，好可爱！#美国卷耳猫##卷耳猫#,
Dior的金属色真的贼带感,
"*DIOR 999
ok，i know.
孙先生的意思是？我是你的正宫娘娘了吧～
@牛牛牛的锐",
郭师傅一提到我们店长就说“那个dior毛那个dior毛”的，年幼的我无知地问了一句“为什么啊？”郭师傅答“dior毛有什么用处啊？”我愣了三秒由衷赞叹老郭的智慧与车技。望尘莫及望尘莫及…,
发布了头条文章《lady Dior mini三格戴妃包》人人都在寻求幸福，但幸福究竟是什么？它是一种得到满足的心态，有时候跟金钱有关，有时候跟金钱无关。即便跟金钱有关，心理学家研究发现：金钱在影响幸福的各种因素中，也只起到百分之二十的作用。所以，幸福的根本，并不在于你拥有了多少金钱，而在于你减 ...全文,
"一直都很期待穿DIOR HOME的毕毕、
选择DIOR HOMME、你知道你本可以",
"#轻薄的假相#
紧跟时代潮流的麻麻

dior版的小猪佩奇了解一下

（虽然我一直认为是弟弟怂恿我妈买的）",
"同一只Dior999，两种不同风格
啊啊啊啊啊，想买",
真爱就给我买Dior575和纪梵希328 真的 绝版 我就这么好撩。,
"dior旷野好好闻呀
就是想象中男孩子的味道
一点点甜甜的 一点点粉味 又挺清新的",
Dior999走到哪里都是那么火🔥,
Dior844现在最喜欢的一种颜色,
昨Dior今Buberry,
"从四月初就想着攒钱买一只MAC lady bug，结果又是全职舞台剧又是彩墨什么的，一直没有买，今天终于踩着四月的尾巴买了，开心
顺便今天涂DIOR 772被我妈夸了，妙啊",
"我心中最美的秀场妆容
Dior 2013 SS HC",
Dior 刚刚推出了新一季高级珠宝腕表，仿佛花园中的奇景......,
为了我的Dior ，早上11点起来后开始搬砖,
dior740真的跟tf16很像吗,
"dior纯网拍
如同迪奥一般高质量的网拍群
今天早上的单子一部分截图
不是送拍就是佣金 天天都让你扫码频繁 前期会费20 预计过几天稳定了 就涨会费 🤒 姑娘的小太阳的秒拍视频",
CT高光液和Dior002高光对比,
"#颖霆cp# #颖霆cp一生推#
你pocky 我meco
你chanel 我Dior
你oppo 我华为
你冠益乳 我真果粒～～
窝家的cp全宇宙最配",
Dior undercover 粉底液，都说011适合黄一白，但是还是不够白啊！而且觉得氧化很快，上脸没一会就更暗了,
昨天试了好久把嘴都擦破了 还是豆沙色适合我🙃🙃Dior772✌️ 邹城·钢山街区,
"#杨洋##蔡徐坤# 所以今天这两位黑发小哥哥都是怎么了?!
都穿Dior的衣服，都戴帽子和口罩
一个从上海北京
一个从L.A.北京上海，明明在美国都还好好的不戴帽子口罩，一回国就开始从小可爱变大佬

我的两位男神今天都辛苦了 晚安@杨洋 @蔡徐坤",
"#蔡徐坤##转发抽奖#
✨转发这条微博＋关注@蔡徐坤
✨抓一个小宝贝送一支Dior999
✨5.6开 @微博抽奖平台
五月六号
你在舞台上实现梦想
我在考场里奋笔疾书
不能参与你的第一次出道舞台
遗憾但是我们一同努力
一起走花路吧
来搞个抽奖攒攒等级考人品啦💤",
我最愛的土色唇....部產品，直男別跟我說看上去都一樣，除了Dior之外我覺得都不是日常色，偶爾塗深土色走去開會好像是去掀桌的有空會拍最（老）少女的裸粉系列和最日常的豆沙系列[攤手]#土色唇膏##Dior620##NarsSlowride#,
